tlw,blw,h,s
2.848,4.979,0.255,3.45
1.62,4.604,0.606,2.14
0.568,3.582,0.284,4.165
1.058,2.944,0.413,3.224
2.175,4.477,0.328,4.571
0.28,4.244,0.183,4.685
1.777,4.797,0.573,3.01
0.882,3.008,0.376,3.576
2.624,4.894,0.528,2.629
1.445,4.993,0.276,4.295
0.966,4.096,0.599,3.322
0.383,3.334,0.35,3.881
2.572,4.702,0.435,2.227
0.955,3.854,0.58,2.528
1.38,4.572,0.191,3.854
0.46,3.17,0.506,2.921
2.067,4.528,0.354,4.972
0.592,4.311,0.477,3.663
0.276,4.884,0.385,2.737
1.209,2.922,0.552,4.794
2.036,3.901,0.221,3.093
1.714,3.927,0.32,3.16
1.511,3.872,0.465,4.439
0.746,2.502,0.246,2.007
2.839,4.788,0.628,4.106
0.755,4.778,0.499,3.447
0.786,4.382,0.407,4.348
1.516,3.354,0.544,2.292
2.274,3.928,0.214,4.013
1.246,3.644,0.298,3.752
1.208,3.906,0.442,2.453
0.287,2.307,0.253,4.884
2.761,4.892,0.635,2.811
1.507,4.524,0.283,2.626
0.458,3.687,0.606,3.574
0.953,3.053,0.328,3.019
2.267,4.574,0.413,4.694
0.385,4.133,0.573,4.573
1.688,4.699,0.184,3.227
0.97,3.113,0.529,4.157
2.51,4.994,0.377,2.13
1.352,4.884,0.599,4.97
0.874,4.182,0.276,2.917
0.282,3.414,0.436,3.862
2.682,4.795,0.351,2.538
1.055,3.773,0.191,2.23
1.271,4.478,0.58,3.883
0.58,3.256,0.354,3.313
1.975,4.611,0.506,4.287
0.48,4.394,0.383,4.103
0.396,4.987,0.476,2.004
1.1,2.823,0.22,4.448
1.948,4.0,0.55,3.17
1.821,4.028,0.466,3.096
1.598,3.773,0.321,4.796
0.702,2.561,0.629,2.728
2.727,4.679,0.247,3.655
1.767,4.636,0.335,4.31
0.755,3.822,0.42,3.383
0.705,3.292,0.29,3.953
2.402,4.428,0.613,2.253
0.633,3.519,0.522,2.514
1.147,4.846,0.37,3.792
0.442,2.873,0.566,2.847
2.364,4.345,0.176,4.946
0.901,4.563,0.536,3.632
0.625,4.622,0.206,2.657
1.318,3.208,0.492,4.726
2.026,3.725,0.399,3.073
1.404,4.203,0.261,3.193
1.834,4.134,0.643,4.518
0.437,2.625,0.306,2.074
3.122,4.841,0.45,4.127
0.334,4.952,0.228,2.787
1.023,4.747,0.558,4.814
1.301,3.375,0.391,2.383
2.515,4.229,0.484,3.729
1.662,3.813,0.622,4.036
1.437,3.544,0.239,2.362
0.504,2.696,0.458,4.418
2.932,4.526,0.314,3.47
1.092,4.27,0.429,2.154
0.333,4.047,0.344,4.227
0.53,2.926,0.592,3.298
1.979,4.941,0.269,4.597
0.808,3.886,0.361,4.67
1.568,4.332,0.513,2.949
0.838,3.496,0.198,3.504
2.121,4.735,0.587,2.602
1.181,4.744,0.187,4.216
0.822,3.941,0.569,2.167
0.618,3.178,0.38,4.608
2.328,4.835,0.525,3.285
0.669,3.634,0.61,2.983
1.219,4.391,0.279,4.634
0.324,3.367,0.417,2.568
2.184,4.284,0.324,3.539
0.423,4.442,0.446,4.848
0.546,4.641,0.294,2.752
1.39,3.112,0.639,3.695
2.204,4.124,0.25,2.418
1.522,4.077,0.411,2.351
1.748,3.603,0.496,4.049
0.865,2.744,0.218,3.482
3.051,4.915,0.54,4.406
0.964,4.826,0.318,2.692
0.937,4.493,0.47,3.595
1.622,3.495,0.244,3.038
1.887,4.164,0.633,4.762
1.29,3.693,0.472,4.508
1.358,4.216,0.387,3.205
0.323,2.361,0.546,4.137
3.017,4.734,0.224,2.062
1.831,4.385,0.576,3.372
0.406,3.693,0.194,4.323
0.768,2.818,0.502,2.264
1.913,4.299,0.357,3.941
0.519,3.994,0.272,3.827
1.635,4.928,0.603,2.478
0.715,2.767,0.347,4.912
2.453,4.668,0.44,2.883
0.568,4.716,0.647,2.039
0.669,4.882,0.257,4.067
1.231,3.236,0.454,3.135
2.303,4.042,0.302,4.484
1.681,3.578,0.209,4.786
1.083,3.831,0.532,3.108
0.353,2.433,0.402,3.666
2.79,4.427,0.488,2.716
1.442,4.596,0.374,2.907
0.589,4.076,0.518,4.982
0.371,2.975,0.18,2.548
2.13,4.689,0.563,3.851
0.916,4.212,0.424,3.918
1.824,4.538,0.331,2.194
0.89,3.127,0.617,4.252
2.038,4.875,0.287,3.349
1.571,4.963,0.509,3.562
1.01,3.559,0.365,2.638
1.016,3.341,0.584,4.705
2.552,4.445,0.201,3.006
0.271,3.846,0.34,3.261
1.402,4.781,0.433,4.538
0.494,3.007,0.266,2.096
2.599,4.484,0.596,4.192
0.818,4.327,0.235,4.382
0.272,4.252,0.625,3.411
1.167,3.413,0.31,3.979
2.066,3.739,0.462,2.328
1.131,3.967,0.554,2.442
1.48,3.987,0.231,3.765
0.469,2.485,0.48,2.822
3.276,4.974,0.394,4.871
1.548,4.803,0.548,3.029
0.758,3.626,0.225,4.683
0.89,3.143,0.474,2.614
2.366,4.609,0.389,3.587
0.448,3.669,0.245,4.17
1.181,4.665,0.635,2.118
0.261,3.076,0.32,4.562
2.576,4.343,0.472,3.236
0.694,4.5,0.349,2.303
0.483,4.415,0.442,4.004
1.416,3.39,0.274,3.433
2.209,3.839,0.605,4.36
1.207,4.112,0.504,4.896
1.71,3.965,0.359,2.798
0.644,2.686,0.578,3.743
3.347,4.974,0.196,2.464
0.544,4.861,0.419,4.459
0.898,4.951,0.326,3.16
1.106,3.437,0.612,4.089
2.478,4.223,0.281,2.017
1.857,3.752,0.382,2.74
1.295,3.717,0.527,3.641
0.603,2.502,0.189,3.086
2.766,4.589,0.571,4.808
1.315,4.42,0.219,3.873
0.368,4.239,0.542,2.526
0.348,2.759,0.412,4.957
1.976,4.758,0.498,2.931
0.99,4.052,0.641,3.327
1.572,4.516,0.251,4.274
0.676,3.29,0.448,2.218
1.912,4.703,0.296,3.893
0.942,4.657,0.268,4.738
0.732,4.561,0.598,3.063
1.496,3.271,0.342,3.617
2.063,4.007,0.435,2.67
1.467,3.542,0.585,2.087
1.122,4.1,0.203,4.112
0.396,2.154,0.511,3.183
2.816,4.712,0.366,4.53
1.706,4.538,0.482,3.963
0.652,3.855,0.396,2.242
0.744,3.01,0.556,4.298
2.092,4.368,0.233,3.397
0.594,4.178,0.312,2.861
1.862,4.905,0.464,4.934
0.954,2.929,0.237,2.503
2.329,4.816,0.627,3.802
1.156,4.928,0.404,3.307
1.049,4.011,0.49,4.586
0.494,3.399,0.211,2.142
2.489,4.998,0.534,4.241
0.844,3.787,0.456,3.517
1.465,4.276,0.304,2.59
0.532,3.437,0.649,4.659
2.16,4.45,0.259,2.958
0.296,4.292,0.619,2.394
0.31,4.805,0.288,3.72
1.23,3.031,0.426,2.774
2.002,4.192,0.333,4.826
1.596,3.908,0.182,4.43
1.544,3.582,0.564,3.457
0.814,2.73,0.375,4.027
2.924,4.758,0.52,2.373
0.36,4.719,0.356,3.707
0.849,4.676,0.508,2.405
1.431,3.203,0.193,4.838
2.301,4.063,0.582,2.763
1.482,3.609,0.438,3.492
1.246,3.663,0.353,4.396
0.35,2.625,0.601,2.338
2.698,4.551,0.278,4.061
1.22,4.465,0.631,4.621
0.522,3.882,0.249,3.273
0.557,3.089,0.468,4.205
2.229,4.868,0.323,2.176
0.73,4.098,0.222,2.578
1.726,4.358,0.552,3.528
1.034,3.331,0.385,2.971
2.248,4.936,0.478,4.648
1.796,4.848,0.255,2.278
0.912,3.75,0.637,3.929
0.833,3.473,0.299,3.361
2.619,4.263,0.444,4.333
0.454,3.714,0.546,4.922
1.335,4.964,0.215,2.872
0.618,2.8,0.501,3.814
2.392,4.576,0.408,2.492
1.03,4.359,0.531,3.051
0.434,4.455,0.378,4.748
1.164,3.232,0.575,2.682
1.885,3.569,0.186,3.607
1.327,3.97,0.33,4.149
1.661,4.158,0.415,2.052
0.257,2.453,0.285,4.494
3.114,4.771,0.608,3.218
1.379,4.695,0.46,2.562
0.691,4.111,0.315,3.838
0.411,3.257,0.624,2.895
2.44,4.628,0.241,4.992
0.876,3.554,0.393,4.262
1.108,4.598,0.486,3.337
0.378,3.185,0.23,3.905
2.001,4.404,0.56,2.208
0.607,4.621,0.199,3.147
0.562,4.822,0.589,4.47
1.17,2.95,0.362,2.029
2.157,3.928,0.515,4.078
1.742,4.238,0.594,3.677
1.796,3.798,0.271,2.705
0.68,2.566,0.431,4.772
2.855,4.9,0.345,3.121
0.782,4.987,0.568,3.991
0.984,4.309,0.178,2.314
1.676,3.472,0.523,4.373
2.095,4.149,0.371,3.422
1.067,3.872,0.292,2.833
1.374,4.023,0.615,4.862
0.466,2.235,0.336,2.428
2.97,4.918,0.422,3.777
1.637,4.305,0.308,4.718
0.295,3.521,0.452,2.995
0.979,2.868,0.263,3.552
2.043,4.503,0.645,2.648
0.308,3.944,0.494,2.106
1.505,4.724,0.401,4.182
0.8,2.946,0.538,3.249
2.639,4.771,0.208,4.551
0.304,4.768,0.583,4.634
0.796,4.728,0.194,2.98
1.27,3.154,0.509,3.537
2.354,4.21,0.357,2.563
1.642,3.657,0.278,2.168
1.194,3.517,0.6,4.219
0.299,2.677,0.352,3.287
2.75,4.499,0.437,4.613
1.075,4.513,0.322,4.047
0.47,4.016,0.467,2.346
0.513,3.041,0.248,4.405
2.28,4.911,0.63,3.478
0.774,4.147,0.478,2.754
1.672,4.316,0.386,4.853
0.981,3.465,0.553,2.419
2.103,4.985,0.222,3.698
1.737,4.896,0.445,3.203
0.861,3.803,0.3,4.503
0.675,3.425,0.638,2.061
2.67,4.409,0.256,4.134
0.612,3.763,0.408,3.598
1.282,4.818,0.5,2.697
0.564,2.854,0.214,4.763
2.334,4.625,0.545,3.042
0.884,4.408,0.185,2.477
0.381,4.591,0.574,3.824
1.111,3.192,0.378,2.881
1.938,3.609,0.53,4.907
1.371,4.018,0.609,4.324
1.609,4.118,0.286,3.376
0.403,2.405,0.416,3.944
3.105,4.691,0.331,2.269
1.322,4.646,0.24,3.112
0.744,4.162,0.622,4.787
0.252,3.306,0.314,2.72
2.387,4.776,0.459,3.668
1.035,3.507,0.561,4.064
1.16,4.451,0.231,2.038
0.43,3.237,0.487,4.479
1.944,4.356,0.394,3.132
0.462,4.574,0.516,2.198
0.614,4.957,0.363,3.92
1.125,2.998,0.59,3.352
2.105,3.97,0.2,4.253
1.788,4.189,0.344,4.977
1.85,3.757,0.43,2.904
0.825,2.615,0.27,3.847
2.709,4.851,0.593,2.547
0.725,4.94,0.37,4.543
1.036,4.363,0.522,3.264
1.687,3.364,0.177,4.196
2.253,4.101,0.567,2.097
1.225,3.823,0.423,2.634
1.427,3.878,0.337,3.56
0.519,2.288,0.616,3.003
2.916,4.864,0.293,4.704
1.489,4.256,0.646,3.768
0.348,3.656,0.264,2.443
0.935,2.917,0.453,4.876
1.99,4.543,0.309,2.825
0.352,3.897,0.207,3.408
1.556,4.683,0.537,4.381
0.852,3.082,0.4,2.323
2.493,4.723,0.493,3.976
1.604,4.754,0.39,2.456
0.812,3.575,0.475,3.757
1.049,3.192,0.226,2.812
2.313,4.461,0.549,4.888
0.289,3.622,0.471,4.346
1.232,4.812,0.319,3.442
0.312,3.023,0.634,4.012
2.632,4.295,0.244,2.288
0.839,4.453,0.604,3.228
0.535,4.28,0.274,4.577
1.468,3.432,0.44,2.133
2.164,3.791,0.348,4.162
1.161,4.063,0.197,3.573
1.763,4.006,0.579,2.622
0.499,2.735,0.36,4.691
3.418,4.993,0.505,3.014
0.602,4.814,0.282,3.884
0.95,4.898,0.613,2.233
1.265,3.484,0.327,4.289
2.321,4.175,0.42,3.318
1.698,3.702,0.57,2.916
1.348,3.862,0.188,4.966
0.656,2.449,0.526,2.535
2.824,4.54,0.381,3.858
1.462,4.37,0.497,4.799
0.421,4.104,0.411,3.101
0.391,2.808,0.541,3.656
1.923,4.717,0.218,2.731
0.947,4.005,0.297,2.002
1.623,4.557,0.449,4.098
0.728,3.155,0.252,3.169
2.059,4.655,0.642,4.444
0.998,4.706,0.434,3.787
0.679,4.508,0.341,2.512
1.574,3.298,0.597,4.943
1.904,4.056,0.267,2.846
1.307,3.59,0.367,3.388
1.07,4.247,0.512,4.313
0.34,2.106,0.204,2.257
2.868,4.765,0.586,3.954
1.852,4.586,0.234,4.515
0.6,3.721,0.557,3.192
0.789,2.962,0.397,4.122
2.143,4.326,0.483,2.072
0.549,4.226,0.626,2.661
1.808,4.947,0.236,3.632
0.901,2.795,0.463,3.078
2.473,4.865,0.311,4.728
1.215,4.976,0.533,2.359
0.997,3.958,0.21,4.036
0.652,3.352,0.489,3.465
2.541,4.852,0.403,4.416
0.686,3.836,0.26,4.817
1.412,4.422,0.65,2.788
0.479,3.383,0.305,3.734
2.217,4.499,0.457,2.385
0.443,4.341,0.334,2.944
0.256,4.669,0.427,4.668
1.177,3.071,0.29,2.599
2.056,4.152,0.62,3.503
1.552,3.956,0.519,4.232
1.492,3.622,0.374,2.156
0.762,2.595,0.564,4.6
3.071,4.805,0.181,3.298
1.136,4.789,0.524,4.391
0.774,3.983,0.379,3.49
0.474,3.134,0.568,4.058
2.377,4.97,0.186,2.337
0.813,3.68,0.325,2.41
1.169,4.257,0.418,3.709
0.274,3.409,0.28,2.766
2.139,4.33,0.611,4.839
0.263,4.488,0.251,3.525
0.497,4.789,0.64,2.577
1.333,3.066,0.295,4.643
2.254,4.175,0.447,2.969
1.579,4.122,0.54,3.276
1.7,3.551,0.217,4.622
1.008,2.714,0.495,2.181
2.891,4.96,0.41,4.207
0.921,4.872,0.632,2.868
0.887,4.533,0.243,4.921
1.475,3.449,0.469,2.487
2.033,4.21,0.317,3.812
1.437,3.738,0.225,3.932
1.31,4.081,0.547,2.279
0.366,2.316,0.388,4.338
3.066,4.693,0.473,3.363
1.673,4.429,0.358,2.047
0.357,3.838,0.503,4.146
0.711,2.773,0.195,3.214
1.961,4.352,0.577,4.493
0.576,4.04,0.439,4.753
1.585,4.874,0.346,3.053
0.665,2.913,0.602,3.61
2.295,4.714,0.272,2.683
0.524,4.671,0.303,3.34
0.717,4.924,0.455,4.267
1.086,3.281,0.258,2.209
2.414,4.029,0.648,3.909
1.826,3.531,0.487,3.836
1.133,3.698,0.401,2.557
0.403,2.474,0.531,4.991
2.745,4.381,0.208,2.892
1.282,4.55,0.562,2.706
0.639,4.223,0.18,3.681
0.315,3.021,0.517,3.123
2.08,4.741,0.373,4.777
0.972,4.168,0.288,4.469
1.872,4.485,0.618,3.144
0.939,3.274,0.332,4.076
1.879,4.83,0.425,2.024
1.527,4.917,0.202,4.863
1.06,3.598,0.584,2.837
0.869,3.387,0.366,3.779
2.502,4.581,0.51,2.433
0.418,3.801,0.595,2.313
1.45,4.646,0.265,3.987
0.543,3.048,0.432,3.42
2.556,4.44,0.339,4.368
0.661,4.282,0.461,4.184
0.32,4.399,0.309,2.111
1.215,3.36,0.624,4.552
2.018,3.793,0.234,3.253
1.189,3.92,0.395,2.992
1.53,3.934,0.481,4.713
0.626,2.531,0.232,2.647
3.226,4.828,0.555,3.548
0.8,4.733,0.213,2.122
0.834,4.34,0.543,4.171
1.564,3.489,0.406,3.242
2.129,3.884,0.498,4.565
1.1,3.598,0.636,4.679
1.258,4.039,0.254,3.028
0.337,2.266,0.443,3.582
2.711,4.934,0.298,2.611
1.667,4.478,0.414,2.802
0.508,3.54,0.329,4.898
1.009,3.099,0.607,2.467
2.217,4.522,0.284,3.744
0.329,4.088,0.376,3.999
1.736,4.752,0.528,2.3
1.019,2.966,0.183,4.356
2.669,4.95,0.572,3.432
1.396,4.838,0.35,3.646
0.924,4.141,0.435,2.743
0.429,3.46,0.276,4.811
2.632,4.659,0.598,3.087
0.909,3.728,0.507,3.155
1.32,4.615,0.355,4.457
0.628,3.215,0.581,2.013
2.018,4.566,0.192,4.088
0.638,4.349,0.551,4.278
0.444,4.841,0.221,3.328
1.149,2.877,0.477,3.898
1.9,3.948,0.384,2.221
1.762,3.982,0.246,2.522
1.648,3.826,0.628,3.872
0.7,2.464,0.32,2.926
2.885,4.633,0.465,4.955
1.813,4.681,0.614,4.112
0.706,3.78,0.291,2.084
0.85,3.247,0.421,4.527
2.45,4.294,0.336,3.178
0.488,3.565,0.176,3.064
1.097,4.98,0.565,4.741
0.392,2.831,0.369,2.672
2.409,4.392,0.521,3.622
1.06,4.609,0.398,4.931
0.575,4.474,0.491,2.856
1.268,3.26,0.205,3.802
1.97,3.771,0.535,2.499
1.348,4.247,0.451,2.244
1.786,4.186,0.307,3.968
0.278,2.58,0.644,3.398
3.282,4.886,0.262,4.301
0.377,4.998,0.485,2.588
0.973,4.706,0.392,3.512
1.448,3.329,0.559,2.957
2.518,4.137,0.229,4.656
1.515,3.858,0.313,4.588
1.389,3.68,0.457,3.312
0.456,2.656,0.238,4.242
2.98,4.567,0.621,2.146
1.25,4.315,0.268,3.456
0.284,3.901,0.591,4.427
0.587,2.882,0.343,2.371
2.027,4.887,0.428,4.022
0.75,3.932,0.588,3.72
1.518,4.386,0.198,2.397
0.788,3.35,0.514,4.828
2.278,4.781,0.362,2.779
1.722,4.786,0.291,3.626
0.79,3.865,0.614,2.675
0.754,3.16,0.335,4.732
2.335,4.382,0.421,3.055
0.584,3.651,0.566,3.176
1.213,4.891,0.176,4.524
0.28,2.915,0.521,2.092
2.318,4.313,0.369,4.121
0.95,4.53,0.492,4.305
0.464,4.576,0.399,3.401
1.384,3.166,0.536,3.959
2.072,3.856,0.206,2.236
1.45,4.141,0.305,2.496
1.692,4.091,0.45,3.798
0.388,2.657,0.26,2.865
3.172,4.991,0.643,4.94
0.288,4.89,0.39,2.148
0.88,4.789,0.483,4.245
1.35,3.408,0.227,3.303
2.616,4.24,0.557,4.579
1.612,3.781,0.458,4.652
1.275,3.59,0.314,2.955
0.571,2.739,0.622,3.521
2.941,4.607,0.24,2.596
1.142,4.402,0.592,2.782
0.4,4.002,0.269,4.832
0.484,2.777,0.429,2.389
1.944,4.983,0.343,3.711
0.854,4.035,0.198,4.019
1.603,4.29,0.588,2.368
0.695,3.45,0.361,4.436
2.17,4.674,0.514,3.464
0.702,4.628,0.544,2.62
0.751,4.43,0.213,3.592
1.658,3.406,0.499,3.025
2.218,3.99,0.406,4.676
1.19,3.513,0.254,4.556
1.141,3.957,0.636,3.233
0.449,2.356,0.298,4.174
2.796,4.844,0.443,2.125
1.563,4.556,0.327,3.441
0.62,3.636,0.412,4.366
0.9,2.992,0.283,2.298
2.124,4.622,0.606,3.995
0.438,4.195,0.529,3.735
1.83,4.651,0.377,2.459
0.935,3.061,0.574,4.902
2.566,4.845,0.184,2.805
1.3,4.945,0.436,4.097
1.017,4.23,0.351,2.022
0.337,3.382,0.6,4.454
2.52,4.743,0.277,3.152
1.0,3.805,0.353,3.079
1.433,4.53,0.505,4.802
0.513,3.304,0.19,2.745
1.922,4.479,0.58,3.649
0.535,4.262,0.22,4.964
0.329,4.936,0.551,2.935
1.09,2.934,0.384,3.868
1.983,4.049,0.476,2.52
1.873,3.879,0.629,2.212
1.562,3.724,0.247,3.889
0.803,2.55,0.466,3.33
2.782,4.74,0.321,4.281
0.624,4.748,0.454,2.901
0.831,4.83,0.302,4.999
1.178,3.174,0.647,2.554
2.32,3.943,0.257,3.833
1.734,3.639,0.403,3.9
1.226,3.783,0.488,2.2
0.318,2.381,0.21,4.27
2.718,4.396,0.533,3.343
1.389,4.447,0.18,2.033
0.554,4.124,0.562,4.085
0.427,3.107,0.373,3.141
2.196,4.638,0.518,4.467
0.86,4.081,0.617,4.768
1.757,4.588,0.287,3.114
1.052,3.175,0.424,3.683
1.986,4.907,0.332,2.71
1.626,4.831,0.584,4.376
0.944,3.507,0.202,3.429
0.964,3.49,0.51,3.985
2.587,4.494,0.365,2.31
0.323,3.696,0.265,2.424
1.367,4.733,0.596,3.771
0.637,2.956,0.339,2.84
2.655,4.546,0.432,4.865
0.766,4.388,0.31,3.557
0.414,4.301,0.462,2.656
1.132,3.464,0.236,4.71
1.904,3.688,0.626,2.989
1.076,3.999,0.48,3.244
1.642,4.039,0.394,4.544
0.521,2.424,0.554,2.114
3.133,4.925,0.231,4.186
1.23,4.712,0.381,4.842
0.66,3.896,0.526,2.77
0.573,3.24,0.188,3.701
2.471,4.878,0.57,2.401
0.714,3.572,0.416,2.333
1.076,4.348,0.324,4.055
0.359,3.322,0.61,3.499
2.233,4.434,0.279,4.4
0.377,4.591,0.639,4.21
