tlw,blw,h,s
0.4443,2.8637,0.496,4.2836
2.0596,4.6689,0.4107,3.3353
0.8935,3.9492,0.2526,2.934
1.4868,4.6045,0.6421,4.9603
0.7697,3.206,0.297,2.5176
2.0031,4.8103,0.4492,3.8635
0.4772,4.7973,0.2579,2.7239
0.7775,4.9658,0.6476,3.6748
1.1353,3.1254,0.3024,3.1058
2.3728,3.984,0.4545,4.7826
1.7768,3.6864,0.532,4.475
1.1747,3.7426,0.2092,3.1263
0.2668,2.5169,0.4875,4.0704
2.6991,4.3253,0.4021,2.0412
1.3312,4.4949,0.5166,3.3574
0.502,4.178,0.3719,4.2614
0.2684,3.059,0.5611,2.191
2.2481,4.7833,0.1789,3.9147
1.0187,4.1298,0.3324,3.8414
1.7038,4.4432,0.4252,2.5397
0.9994,3.2285,0.2879,4.9852
1.9276,4.9558,0.6181,2.9092
1.4814,4.8789,0.3658,4.2016
0.8922,3.6413,0.5106,2.1049
0.9184,3.4422,0.2026,4.5344
2.639,4.5353,0.5847,3.2588
0.3686,3.7454,0.4312,2.998
1.3139,4.6913,0.3385,4.6955
0.5838,3.0899,0.5946,2.641
2.509,4.5952,0.2642,3.5657
0.7094,4.4375,0.6247,4.8805
0.3611,4.3526,0.2351,2.8307
1.0786,3.3173,0.4615,3.7617
1.9573,3.8351,0.3093,2.4392
1.2351,4.0466,0.2319,2.3191
1.5907,3.8914,0.5548,3.9697
0.5776,2.3764,0.3952,3.4137
3.1842,4.874,0.4805,4.3853
1.0836,4.6634,0.5691,3.5423
0.713,4.0314,0.1869,2.5707
0.5286,3.2889,0.5246,4.6253
2.4179,4.918,0.3798,2.9746
0.7585,3.5247,0.2801,3.2822
1.1277,4.3086,0.6104,4.6047
0.4106,3.4571,0.3247,2.1751
2.0864,4.3859,0.4174,4.225
0.3186,4.5438,0.2953,4.4088
0.6331,4.7374,0.4475,3.484
1.2815,3.0273,0.2508,4.04
2.0856,4.2243,0.6404,2.3425
1.6307,4.1596,0.4943,2.4158
1.8682,3.5022,0.409,3.6914
0.9476,2.6632,0.5389,2.7604
2.9467,4.8336,0.216,4.8571
0.8683,4.9106,0.4683,2.0647
1.0546,4.5812,0.3162,4.1407
1.5311,3.3933,0.6317,3.1967
1.9779,4.0842,0.2419,4.4984
1.3809,3.7932,0.388,4.7592
1.4463,4.1316,0.4735,3.0355
0.4189,2.2783,0.2248,3.6045
2.897,4.6453,0.5476,2.7004
1.7288,4.274,0.1948,2.8857
0.3161,3.7877,0.577,4.9148
0.6581,2.8987,0.3581,2.4694
2.0218,4.4004,0.5028,3.818
0.629,3.9138,0.6025,3.9382
1.5251,4.8261,0.2722,2.2613
0.833,2.8614,0.4392,4.3318
2.3504,4.7519,0.3464,3.3809
1.8679,4.737,0.4217,4.9488
0.8429,3.7286,0.3363,2.8503
0.7979,3.2095,0.6147,3.7838
2.2817,4.342,0.2919,2.505
0.5399,3.6036,0.3684,2.25
1.2645,4.9315,0.5205,3.9509
0.3316,2.78,0.1754,3.3923
2.4652,4.2655,0.5651,4.3189
1.0084,4.4825,0.2053,4.1292
0.5154,4.5232,0.5355,2.0776
1.4356,3.3114,0.3982,4.5097
1.9142,3.8089,0.491,3.1839
1.2923,4.0919,0.6436,3.0697
1.7447,4.2372,0.2613,4.7236
0.3294,2.7057,0.4505,2.6665
3.2295,4.9417,0.3059,3.6399
0.4331,4.8427,0.5582,3.4734
0.9314,4.6555,0.2279,4.421
1.3951,3.4553,0.4839,2.3531
2.5702,4.1922,0.3912,4.0281
1.5678,3.7322,0.2387,3.7262
1.3283,3.6317,0.6208,2.3794
0.6239,2.6045,0.3128,4.8223
3.0213,4.6179,0.4576,2.7965
1.1976,4.3526,0.3424,2.6054
0.453,3.9492,0.4277,3.5062
0.6435,2.8259,0.2681,2.9397
1.8911,4.8365,0.591,4.6616
0.6945,3.9875,0.5145,4.5942
1.6547,4.4369,0.3623,3.2943
0.7468,3.3987,0.5887,4.2357
2.2263,4.6264,0.1991,2.163
0.8497,4.6775,0.4055,2.82
0.6978,4.2945,0.4982,4.8927
1.6054,3.446,0.2125,2.4498
2.1744,4.039,0.5428,3.7497
1.1463,3.5602,0.444,4.0046
1.0894,3.9971,0.2992,2.2827
0.3973,2.2199,0.6369,4.3506
2.8481,4.9789,0.2548,3.4499
1.6204,4.6036,0.6065,2.1395
0.5683,3.5822,0.2836,4.1654
1.0583,2.9444,0.4134,3.2239
2.1753,4.4768,0.3281,4.5707
0.2796,4.2437,0.183,4.685
1.777,4.7966,0.5726,3.01
0.8822,3.0084,0.3759,3.5765
2.6239,4.8939,0.5281,2.6289
1.4453,4.9927,0.2758,4.2954
0.9657,4.0958,0.5986,3.322
0.3832,3.3343,0.3499,3.8806
2.5719,4.7019,0.4353,2.2266
0.9546,3.8543,0.5805,2.5284
1.3801,4.5716,0.1908,3.8541
0.4595,3.1701,0.5062,2.9206
2.0674,4.5283,0.3541,4.9722
0.5916,4.311,0.4774,3.6633
0.2759,4.884,0.3846,2.7368
1.2092,2.9222,0.5516,4.7939
2.0361,3.9014,0.2214,3.093
1.7139,3.9269,0.3202,3.1605
1.5109,3.872,0.4648,4.4394
0.7463,2.502,0.2459,2.0073
2.8386,4.7881,0.6282,4.1058
0.7552,4.7781,0.4994,3.4466
0.7856,4.3817,0.4067,4.3481
1.5158,3.3545,0.544,2.2919
2.2735,3.9283,0.2137,4.013
1.2456,3.6445,0.2976,3.7523
1.2075,3.9055,0.4424,2.4531
0.2873,2.307,0.2531,4.8843
2.7613,4.8918,0.6353,2.8108
1.507,4.5237,0.2834,2.6256
0.4582,3.6869,0.6063,3.5739
0.9527,3.0533,0.3279,3.0192
2.2669,4.5743,0.4132,4.6935
0.3851,4.1329,0.5732,4.5733
1.6877,4.6992,0.1836,3.2272
0.9702,3.1132,0.5288,4.1569
2.5104,4.9944,0.3766,2.1304
1.3524,4.8839,0.5992,4.9697
0.8741,4.1815,0.2764,2.9173
0.2825,3.4142,0.436,3.8625
2.6821,4.7949,0.3506,2.5376
1.0554,3.7731,0.1906,2.2299
1.2713,4.4785,0.5803,3.8831
0.5796,3.2558,0.3539,3.3129
1.9746,4.6108,0.506,4.287
0.4798,4.3937,0.3829,4.1032
0.3958,4.9872,0.4758,2.004
1.1002,2.8232,0.2197,4.4478
1.9483,4.0003,0.5499,3.1697
1.821,4.0284,0.466,3.0964
1.5976,3.7732,0.3213,4.7965
0.7024,2.5614,0.6293,2.7276
2.7267,4.679,0.247,3.6549
1.7671,4.6365,0.3347,4.3104
0.7549,3.8216,0.4201,3.3831
0.7051,3.292,0.2902,3.9534
2.4018,4.4277,0.613,2.2533
0.6328,3.5191,0.5217,2.5142
1.1466,4.8457,0.3696,3.7923
0.4418,2.873,0.5663,2.847
2.3645,4.3454,0.1765,4.9463
0.9014,4.5627,0.5361,3.6315
0.6254,4.622,0.2059,2.6573
1.3175,3.208,0.4917,4.7261
2.0261,3.7246,0.3988,3.0729
1.4041,4.2026,0.2611,3.1931
1.8343,4.134,0.6434,4.5181
0.4366,2.6247,0.3057,2.0743
3.1224,4.8411,0.4504,4.1266
0.3338,4.9518,0.2277,2.7874
1.0227,4.7471,0.558,4.8139
1.3007,3.3752,0.391,2.3828
2.5149,4.2289,0.4838,3.7288
1.6622,3.8132,0.6215,4.0365
1.4373,3.5445,0.2393,2.3622
0.504,2.696,0.4583,4.4184
2.9318,4.5264,0.3135,3.47
1.0921,4.2701,0.4289,2.1538
0.3329,4.0466,0.3436,4.2273
0.5299,2.9263,0.5922,3.2976
1.9791,4.9413,0.2693,4.5967
0.8079,3.8858,0.3607,4.67
1.5681,4.3322,0.5129,2.9489
0.8383,3.4961,0.1975,3.5036
2.1207,4.7352,0.5871,2.6021
1.1812,4.7444,0.1872,4.2158
0.822,3.9414,0.5693,2.1667
0.6183,3.1782,0.3801,4.608
2.3283,4.8352,0.5249,3.2848
0.6689,3.6338,0.6097,2.983
1.2191,4.3913,0.2794,4.6344
0.3239,3.367,0.4167,2.5682
2.184,4.2843,0.324,3.539
0.4226,4.4421,0.4463,4.8479
0.5465,4.6414,0.2941,2.752
1.3901,3.1118,0.6393,3.6947
2.2035,4.124,0.2497,2.4184
1.5219,4.0771,0.4106,2.3509
1.7481,3.6026,0.4959,4.0492
0.8646,2.7443,0.2176,3.4815
3.0506,4.9148,0.5405,4.4055
0.9642,4.826,0.3178,2.692
0.9367,4.4926,0.4699,3.5953
1.6224,3.495,0.2436,3.038
1.8866,4.1641,0.6333,4.7625
1.2897,3.6928,0.4723,4.5076
1.3583,4.2158,0.3869,3.2051
0.3228,2.3607,0.5465,4.1374
3.0171,4.734,0.2237,2.0621
1.8312,4.3847,0.5763,3.3724
0.4057,3.6932,0.194,4.3226
0.7684,2.8177,0.502,2.2639
1.9128,4.2986,0.3574,3.9414
0.5187,3.994,0.2725,3.8271
1.6351,4.928,0.6027,2.4778
0.7149,2.767,0.3467,4.9115
2.4527,4.6676,0.4395,2.8831
0.5684,4.7161,0.6468,2.0386
0.6687,4.8816,0.2571,4.067
1.2314,3.2363,0.4538,3.1348
2.3033,4.042,0.3017,4.4841
1.6808,3.5776,0.2094,4.7859
1.0832,3.8312,0.5322,3.1084
0.3534,2.4326,0.4023,3.6657
2.7904,4.427,0.4878,2.7155
1.4416,4.5965,0.3735,2.9066
0.5888,4.0762,0.5182,4.9819
0.3707,2.9747,0.1805,2.5481
2.1299,4.6889,0.5628,3.8506
0.9163,4.2124,0.4241,3.918
1.8236,4.5377,0.3312,2.1936
0.8903,3.1267,0.617,4.2523
2.0379,4.8747,0.2868,3.349
1.5711,4.9632,0.5094,3.5625
1.0103,3.5586,0.3646,2.6385
1.0161,3.3407,0.5836,4.7047
2.5522,4.4451,0.2014,3.0065
0.2711,3.846,0.3401,3.2614
1.4017,4.7814,0.4328,4.5377
0.4942,3.0071,0.2658,2.0964
2.5987,4.4845,0.5962,4.1924
0.8182,4.3266,0.2354,4.3821
0.2718,4.2522,0.625,3.4112
1.1666,3.4132,0.3096,3.9789
2.0661,3.7392,0.4618,2.3275
1.1311,3.9667,0.554,2.4418
1.4805,3.9874,0.2311,3.765
0.469,2.4853,0.4798,2.8222
3.2758,4.9743,0.3945,4.8713
1.5475,4.8032,0.5482,3.0286
0.7584,3.6261,0.2254,4.6826
0.8901,3.1433,0.4741,2.6136
2.3662,4.6087,0.3886,3.5873
0.4478,3.6691,0.2453,4.1703
1.1808,4.6648,0.635,2.1185
0.2606,3.0758,0.3196,4.5625
2.5762,4.3428,0.4717,3.2365
0.6942,4.5005,0.3487,2.3027
0.4832,4.4147,0.4415,4.0036
1.4161,3.3904,0.2745,3.4332
2.2092,3.8386,0.6047,4.36
1.2067,4.1121,0.504,4.8961
1.7102,3.9649,0.3593,2.7975
0.6437,2.6855,0.5783,3.743
3.3471,4.9736,0.196,2.4638
0.544,4.8614,0.4186,4.4594
0.8984,4.9513,0.3259,3.1595
1.1061,3.4366,0.6117,4.0891
2.4781,4.2226,0.2813,2.0166
1.8567,3.7516,0.382,2.7402
1.2946,3.7168,0.5268,3.6409
0.6029,2.5021,0.1891,3.0863
2.7656,4.5893,0.5713,4.8079
1.3151,4.4196,0.2193,3.8727
0.3677,4.2394,0.5422,2.526
0.3484,2.7589,0.4123,4.957
1.9764,4.7575,0.4976,2.9314
0.9896,4.0524,0.641,3.3269
1.5718,4.5159,0.2514,4.2744
0.6765,3.2902,0.4481,2.2184
1.912,4.7029,0.2959,3.8932
0.9419,4.6573,0.2676,4.7376
0.7324,4.5612,0.5979,3.0629
1.496,3.2713,0.3418,3.6174
2.0634,4.0071,0.4346,2.6699
1.4668,3.5422,0.5853,2.0869
1.1215,4.0996,0.2032,4.1125
0.3961,2.1539,0.5112,3.183
2.816,4.7122,0.3664,4.5297
1.706,4.538,0.4817,3.9634
0.652,3.8546,0.3965,2.2418
0.744,3.01,0.556,4.2978
2.0916,4.3683,0.2331,3.3972
0.5939,4.1775,0.3115,2.8611
1.8615,4.9051,0.4638,4.9336
0.954,2.9294,0.2374,2.5026
2.3288,4.8159,0.627,3.8024
1.1564,4.9279,0.4043,3.3069
1.0486,4.0107,0.4897,4.586
0.4942,3.3991,0.2114,2.142
2.489,4.9977,0.5342,4.2406
0.8436,3.7873,0.4558,3.517
1.4654,4.2758,0.3037,2.5902
0.5321,3.4368,0.6488,4.6591
2.1596,4.4496,0.2591,2.9582
0.2965,4.2916,0.6187,2.3935
0.3096,4.805,0.2885,3.7195
1.2302,3.0307,0.4258,2.7741
2.0024,4.1915,0.333,4.8258
1.5964,3.9083,0.1822,4.4303
1.5438,3.5819,0.5645,3.4566
0.814,2.7304,0.3752,4.0271
2.9242,4.7577,0.5199,2.3731
0.3599,4.7193,0.3559,3.7066
0.8493,4.6758,0.508,2.405
1.4306,3.2034,0.1926,4.8385
2.301,4.0632,0.5823,2.7628
1.4815,3.6091,0.438,3.4922
1.2457,3.6634,0.3526,4.3962
0.3505,2.6252,0.6012,2.3376
2.698,4.5507,0.2784,4.061
1.22,4.4653,0.6311,4.6214
0.5215,3.882,0.2488,3.2729
0.5572,3.0887,0.4677,4.205
2.2286,4.8682,0.3231,2.1761
0.73,4.0979,0.2215,2.5775
1.7256,4.3583,0.5517,3.5283
1.0339,3.3311,0.3847,2.9712
2.2483,4.9356,0.4775,4.6477
1.7955,4.8485,0.2549,2.278
0.9124,3.7496,0.637,3.9288
0.8326,3.4726,0.2993,3.3609
2.6188,4.2627,0.4441,4.3327
0.4544,3.7143,0.5457,4.9216
1.335,4.9639,0.2154,2.8716
0.6175,2.8,0.5011,3.8145
2.3916,4.5758,0.4084,2.4918
1.0301,4.3587,0.5307,3.0507
0.4337,4.4552,0.3785,4.7483
1.1639,3.2324,0.5752,2.6819
1.8847,3.5686,0.1856,3.6069
1.327,3.9701,0.3299,4.1489
1.6609,4.1579,0.4152,2.0521
0.257,2.453,0.2853,4.4935
3.114,4.7714,0.6082,3.2177
1.3789,4.6953,0.4602,2.5622
0.6912,4.1106,0.3154,3.838
0.4112,3.257,0.6235,2.8951
2.4397,4.6281,0.2413,4.9919
0.8759,3.5544,0.393,4.2624
1.1083,4.5985,0.4857,3.3374
0.3785,3.1846,0.2297,3.9053
2.0006,4.4038,0.56,2.2077
0.6073,4.6211,0.1992,3.1473
0.5621,4.8223,0.5888,4.47
1.1703,2.95,0.3624,2.0286
2.1566,3.9283,0.5146,4.0785
1.7419,4.2376,0.594,3.6772
1.7964,3.7982,0.2711,2.7054
0.6798,2.5659,0.4306,4.7718
2.8547,4.8999,0.3453,3.1211
0.7825,4.9871,0.568,3.9908
0.9844,4.3086,0.1783,2.3142
1.6765,3.4725,0.5234,4.3728
2.0952,4.149,0.3713,3.4219
1.0668,3.872,0.292,2.8331
1.3736,4.0233,0.6148,4.8619
0.4661,2.2351,0.3364,2.4284
2.9696,4.9179,0.4219,3.7769
1.6369,4.3051,0.3077,4.718
0.2951,3.5212,0.4523,2.9946
0.9788,2.8676,0.2631,3.5517
2.0428,4.503,0.6453,2.6477
0.3084,3.9442,0.4936,2.1058
1.5048,4.7235,0.4008,4.1815
0.8,2.9463,0.5381,3.2494
2.6392,4.7706,0.2079,4.5511
0.3036,4.7683,0.5832,4.6335
0.7961,4.7279,0.1935,2.9796
1.2704,3.1543,0.5089,3.5367
2.3542,4.2098,0.3568,2.5632
1.6417,3.6568,0.2775,2.1676
1.1942,3.5168,0.6003,4.2193
0.299,2.6771,0.3516,3.2872
2.7496,4.4986,0.4371,4.6129
1.0747,4.5129,0.3222,4.0468
0.4699,4.016,0.4668,2.346
0.5126,3.041,0.2479,4.4046
2.2802,4.9106,0.6302,3.478
0.7745,4.147,0.4784,2.7543
1.6724,4.3159,0.3856,4.8529
0.9807,3.4652,0.5526,2.4193
2.1032,4.9847,0.2224,3.6981
1.7371,4.8961,0.445,3.2027
0.8608,3.8026,0.3003,4.5026
0.675,3.425,0.6379,2.0612
2.6703,4.4087,0.2558,4.1339
0.612,3.7634,0.4075,3.5977
1.2818,4.8179,0.5002,2.697
0.5643,2.8539,0.2145,4.7634
2.3342,4.6249,0.5448,3.0415
0.8838,4.4078,0.1847,2.4769
0.3806,4.5912,0.5743,3.8236
1.1108,3.1919,0.3776,2.8807
1.9379,3.6086,0.5298,4.9066
1.3709,4.0177,0.6092,4.3236
1.6094,4.1179,0.2863,3.3759
0.4033,2.4054,0.4161,3.9438
3.105,4.6913,0.3308,2.2688
1.3222,4.6462,0.2404,3.1118
0.7443,4.1623,0.6225,4.7868
0.2522,3.3061,0.3145,2.7204
2.3866,4.7758,0.4593,3.668
1.0348,3.5068,0.5609,4.0636
1.1599,4.4508,0.2306,2.0377
0.4301,3.2368,0.4866,4.4792
1.9445,4.3562,0.3939,3.1324
0.4624,4.5735,0.5155,2.1985
0.6137,4.9566,0.3633,3.9204
1.1246,2.9976,0.5897,3.3525
2.105,3.9696,0.2001,4.2532
1.7876,4.1886,0.3444,4.9769
1.8495,3.7569,0.4297,2.9042
0.8247,2.615,0.2701,3.8471
2.7092,4.8508,0.5931,2.5472
0.7252,4.9395,0.3704,4.5426
1.036,4.3627,0.5225,3.2638
1.6873,3.3644,0.1774,4.1959
2.2531,4.1014,0.5671,2.0974
1.2248,3.8229,0.4228,2.6335
1.4268,3.8776,0.3374,3.5601
0.5193,2.2879,0.6157,3.003
2.9165,4.8638,0.2929,4.7038
1.4894,4.256,0.6463,3.7685
0.3482,3.6561,0.264,2.4427
0.9352,2.9167,0.4532,4.8763
1.9896,4.5434,0.3086,2.8246
0.3519,3.8966,0.207,3.4077
1.5564,4.6831,0.5372,4.3811
0.8516,3.0824,0.3999,2.3226
2.4931,4.723,0.4927,3.9765
1.6043,4.7542,0.3896,2.4555
0.8115,3.5746,0.475,3.7572
1.0492,3.1923,0.2264,2.8117
2.3131,4.4612,0.5492,4.8877
0.2886,3.6215,0.4707,4.3457
1.2324,4.8123,0.3186,3.4416
0.3122,3.0233,0.6341,4.0121
2.6321,4.2952,0.2443,2.2884
0.8389,4.4529,0.6038,3.2282
0.5348,4.2802,0.2735,4.5768
1.4677,3.4324,0.4405,2.1328
2.1643,3.791,0.3477,4.1619
1.1612,4.063,0.1969,3.573
1.7633,4.0063,0.5792,2.6221
0.499,2.7346,0.3603,4.6911
3.4182,4.9933,0.5049,3.0143
0.6019,4.8138,0.2823,3.884
0.95,4.8977,0.6126,2.2334
1.2648,3.4843,0.3269,4.2894
2.3209,4.175,0.4196,3.3178
1.6981,3.7025,0.5704,2.9164
1.3478,3.8619,0.1882,4.9662
0.6561,2.4487,0.5259,2.5352
2.8236,4.5402,0.3811,3.8576
1.462,4.3705,0.4967,4.7988
0.4209,4.104,0.4114,3.1013
0.3913,2.808,0.5413,3.6558
1.9233,4.7166,0.2184,2.7311
0.9466,4.0047,0.2968,2.0016
1.6233,4.5568,0.449,4.0983
0.7281,3.1546,0.2523,3.1688
2.0587,4.6553,0.6419,4.4443
0.9975,4.7064,0.4336,3.7873
0.6792,4.5085,0.3409,2.5118
1.574,3.2975,0.597,4.9428
1.904,4.0562,0.2666,2.8461
1.3072,3.5898,0.3673,3.3881
1.0699,4.2467,0.5121,4.3128
0.3404,2.1063,0.2041,2.2568
2.8675,4.7648,0.5863,3.9544
1.8519,4.5857,0.2341,4.5146
0.6005,3.7212,0.557,3.1922
0.7892,2.9624,0.3974,4.1217
2.1432,4.3265,0.4827,2.0719
0.5488,4.2265,0.626,2.6608
1.8084,4.9469,0.2364,3.6324
0.9008,2.7947,0.4628,3.0779
2.4733,4.865,0.3106,4.7285
1.2146,4.9755,0.5333,2.3587
0.997,3.9575,0.2105,4.0356
0.6516,3.3515,0.4888,3.4651
2.5406,4.8515,0.4034,4.416
0.6862,3.8364,0.26,4.8174
1.4123,4.422,0.6497,2.7883
0.479,3.3831,0.3046,3.7337
2.2172,4.4986,0.4567,2.3851
0.443,4.3407,0.3339,2.9439
0.2565,4.6692,0.4268,4.6676
1.1771,3.0714,0.2895,2.5986
2.0556,4.1517,0.6197,3.5027
1.5522,3.9559,0.519,4.2322
1.4922,3.6217,0.3743,2.1562
0.7624,2.5952,0.5636,4.6002
3.0713,4.8053,0.1813,3.2985
1.1358,4.7891,0.5239,4.3912
0.7736,3.983,0.3791,3.4899
0.4737,3.1335,0.5684,4.0576
2.3767,4.9699,0.1862,2.3367
0.8134,3.6799,0.3249,2.4099
1.1691,4.2566,0.4176,3.709
0.2739,3.4088,0.2803,2.7663
2.1389,4.3305,0.6107,4.8394
0.2631,4.4883,0.2506,3.5248
0.4966,4.7887,0.6402,2.5766
1.3331,3.0657,0.2951,4.6428
2.2535,4.1754,0.4473,2.9688
1.579,4.1218,0.5396,3.2763
1.6997,3.5512,0.2166,4.6223
1.008,2.7145,0.495,2.1811
2.891,4.9595,0.4097,4.2073
0.9211,4.8722,0.6323,2.8682
0.8867,4.5333,0.2426,4.9206
1.4754,3.4489,0.469,2.4869
2.0331,4.2103,0.3169,3.8122
1.4368,3.7375,0.2246,3.9323
1.3099,4.0806,0.5474,2.279
0.366,2.3161,0.3879,4.3377
3.0655,4.6933,0.4733,3.3633
1.6729,4.4293,0.3583,2.0471
0.3572,3.8385,0.503,4.1465
0.7107,2.773,0.195,3.2142
1.9612,4.3523,0.5773,4.4926
0.5763,4.0401,0.4386,4.7533
1.5851,4.8743,0.3457,3.0531
0.6649,2.9132,0.6018,3.6104
2.2954,4.7137,0.2716,2.6828
0.5235,4.6714,0.3026,3.3398
0.7171,4.9236,0.4547,4.2674
1.0857,3.2809,0.258,2.2086
2.4138,4.0289,0.6478,3.9088
1.8265,3.5314,0.4868,3.8356
1.1332,3.6976,0.4014,2.5572
0.4034,2.4741,0.5313,4.991
2.7449,4.3808,0.2085,2.8916
1.2818,4.5503,0.5618,2.7063
0.6388,4.2231,0.1795,3.6807
0.3149,3.0208,0.5172,3.1234
2.08,4.7413,0.3726,4.7767
0.9721,4.1678,0.2877,4.4691
1.8721,4.4853,0.6179,3.1439
0.9388,3.2742,0.3322,4.0762
1.8787,4.8301,0.425,2.0237
1.5267,4.9171,0.2024,4.8629
1.0603,3.5982,0.5845,2.8366
0.8694,3.3868,0.3656,3.7793
2.5022,4.5807,0.5104,2.4333
0.4178,3.8014,0.5952,2.3133
1.4501,4.6458,0.2649,3.9873
0.5426,3.048,0.4319,3.4196
2.5557,4.4398,0.3392,4.3678
0.661,4.2819,0.4608,4.1839
0.3202,4.3986,0.3086,2.1108
1.215,3.3597,0.6241,4.552
2.0177,3.7926,0.2345,3.2529
1.1891,3.9205,0.3954,2.9922
1.5305,3.934,0.4807,4.7131
0.6262,2.5314,0.2321,2.6468
3.2258,4.8279,0.555,3.5482
0.8,4.7334,0.2127,2.122
0.834,4.3395,0.5431,4.1712
1.5642,3.4888,0.4058,3.2415
2.1286,3.8836,0.4985,4.5649
1.1001,3.5984,0.6362,4.6791
1.2575,4.0393,0.254,3.0277
0.3373,2.2657,0.4433,3.5824
2.7114,4.934,0.2985,2.6112
1.667,4.4775,0.4142,2.8025
